Group_ID,Light_Treatment_Population_white_eyed_Female,Light_Treatment_Population_wild_type_Female,Light_Treatment_Population_white_eyed_Male,Light_Treatment_Population_wild_type_Male,Light_Treatment_Frequency_for_white_eyed_Allele,Dark_Treatment_Population_white_eyed_Female,Dark_Treatment_Population_wild_type_Female,Dark_Treatment_Population_white_eyed_Male,Dark_Treatment_Population_wild_type_Male,Dark_Treatment_Frequency_for_white_eyed_Allele,Reporting_Year,Chron Order
F22_2400,6,14,5,15,0.25,19,1,15,5,0.75,F22,F22_F22_2400
F22_3000,5,15,3,17,0.15,8,12,6,14,0.30,F22,F22_F22_3000
F22_3100,2,6,0,3,0.00,7,14,6,13,0.32,F22,F22_F22_3100
F22_3200,3,17,9,11,0.45,0,20,4,16,0.20,F22,F22_F22_3200
F22_3300,7,13,9,9,0.50,2,18,2,18,0.10,F22,F22_F22_3300
F22_3400,10,10,16,4,0.80,0,20,2,18,0.10,F22,F22_F22_3400
F22_3500,10,10,13,7,0.65,1,19,11,9,0.55,F22,F22_F22_3500
F22_3600,9,67,35,31,0.53,16,14,13,8,0.62,F22,F22_F22_3600
F22_3700,3,17,16,4,0.80,9,11,15,5,0.75,F22,F22_F22_3700
F22_3800,12,8,14,6,0.70,14,6,19,1,0.95,F22,F22_F22_3800
F22_3900,,,,,,,,,,,F22,F22_F22_3900
F22_4000,3,8,9,4,0.69,40,35,38,0,1.00,F22,F22_F22_4000
F22_204,7,13,14,6,0.70,7,13,10,10,0.50,F22,F22_F22_204
F22_302,5,13,6,12,0.33,3,17,9,11,0.45,F22,F22_F22_302
F22_300,6,14,10,10,0.50,6,10,2,8,0.20,F22,F22_F22_300
F22_502,20,0,20,0,1.00,14,6,16,4,0.80,F22,F22_F22_502
F22_4100,6,14,3,17,0.15,3,17,7,13,0.35,F22,F22_F22_4100
S23_TA.02,10,10,10,10,0.50,10,10,10,10,0.50,S23,S23_S23_TA.02
S23_TA.03,14,6,11,9,0.55,6,14,18,2,0.90,S23,S23_S23_TA.03
S23_TA.04,10,10,10,10,0.50,10,10,10,10,0.50,S23,S23_S23_TA.04
S23_TA.01,1,19,6,14,0.30,17,3,18,2,0.90,S23,S23_S23_TA.01
S23_Sam.17,12,8,19,1,0.95,16,4,13,7,0.65,S23,S23_S23_Sam.17
S23_Sam.15,8,12,11,9,0.55,16,4,14,6,0.70,S23,S23_S23_Sam.15
S23_Sam.20,14,6,11,9,0.55,13,7,19,1,0.95,S23,S23_S23_Sam.20
S23_Sam.16,6,14,11,9,0.55,13,7,14,6,0.70,S23,S23_S23_Sam.16
S23_Sam.18,2,18,8,12,0.40,19,1,20,0,1.00,S23,S23_S23_Sam.18
S23_10,14,6,10,10,0.50,18,2,18,2,0.90,S23,S23_S23_10
S23_Olivia.03,15,5,15,5,0.75,20,0,20,0,1.00,S23,S23_S23_Olivia.03
S23_Olivia.05,17,3,18,2,0.90,6,14,17,3,0.85,S23,S23_S23_Olivia.05
S23_Olivia.01,10,10,14,6,0.70,18,2,20,0,1.00,S23,S23_S23_Olivia.01
S23_Melissa.11,2,18,17,3,0.85,13,7,20,0,1.00,S23,S23_S23_Melissa.11
S23_Melissa.14,17,3,15,5,0.75,9,11,11,9,0.55,S23,S23_S23_Melissa.14
S23_Melissa.09,12,8,15,5,0.75,4,16,13,7,0.65,S23,S23_S23_Melissa.09
S23_Melissa.12,9,11,16,4,0.80,14,6,19,1,0.95,S23,S23_S23_Melissa.12
S23_Olivia.04,12,8,17,3,0.85,17,3,20,0,1.00,S23,S23_S23_Olivia.04
S23_Melissa.13,10,10,16,4,0.80,1,19,9,11,0.45,S23,S23_S23_Melissa.13
S23_19,11,9,9,11,0.45,17,3,18,2,0.90,S23,S23_S23_19
S23_Grace.38,3,17,12,8,0.60,16,4,17,3,0.85,S23,S23_S23_Grace.38
S23_Grace.39,8,12,13,7,0.65,6,14,7,13,0.35,S23,S23_S23_Grace.39
S23_Grace.36,4,16,17,3,0.85,15,5,20,0,1.00,S23,S23_S23_Grace.36
S23_Grace.41,3,17,10,10,0.50,10,10,12,8,0.60,S23,S23_S23_Grace.41
S23_Grace.40,,,,,,8,6,10,18,0.36,S23,S23_S23_Grace.40
S23_Alexis.32,14,6,15,5,0.75,15,5,13,7,0.65,S23,S23_S23_Alexis.32
S23_Alexis.33,2,18,14,6,0.70,,,,,,S23,S23_S23_Alexis.33
S23_Alicia.26,7,13,11,9,0.55,,,,,,S23,S23_S23_Alicia.26
